"Node Number","Time","Power Reading","Temperature","Wind generation was in excess"
1,"2015-03-09T04:16:56.831Z",1424.16,1,false
0,"2015-03-09T04:16:57.565Z",11.28,1,false
1,"2015-03-09T04:16:57.849Z",986.52,1,false
0,"2015-03-09T04:16:58.583Z",10.68,1,false
1,"2015-03-09T04:16:58.865Z",1106.88,1,false
0,"2015-03-09T04:16:59.593Z",11.28,1,false
1,"2015-03-09T04:16:59.888Z",1191.48,1,false
0,"2015-03-09T04:17:00.604Z",11.28,1,false
1,"2015-03-09T04:17:00.909Z",1218.6,1,false
0,"2015-03-09T04:17:01.616Z",8.879999999999999,1,false
1,"2015-03-09T04:17:01.935Z",1386.7199999999998,1,false
0,"2015-03-09T04:17:02.633Z",9.96,1,false
1,"2015-03-09T04:17:02.968Z",1114.68,1,false
0,"2015-03-09T04:17:03.645Z",10.200000000000001,1,false
1,"2015-03-09T04:17:03.990Z",1217.8799999999999,1,false
0,"2015-03-09T04:17:04.655Z",12.36,1,false
1,"2015-03-09T04:17:05.012Z",9.72,1,false
0,"2015-03-09T04:17:05.667Z",12.719999999999999,1,false
1,"2015-03-09T04:17:06.029Z",13.32,1,false
0,"2015-03-09T04:17:06.682Z",5.88,1,false
1,"2015-03-09T04:17:07.047Z",13.08,1,false
0,"2015-03-09T04:17:07.694Z",10.68,1,false
1,"2015-03-09T04:17:08.063Z",6.6,1,false
0,"2015-03-09T04:17:08.704Z",11.52,1,false
1,"2015-03-09T04:17:09.082Z",12.120000000000001,1,false
0,"2015-03-09T04:17:09.716Z",7.68,1,false
1,"2015-03-09T04:17:10.103Z",11.76,1,false
0,"2015-03-09T04:17:10.731Z",11.76,1,false
1,"2015-03-09T04:17:11.115Z",999.24,1,false
0,"2015-03-09T04:17:11.740Z",9.72,1,false
1,"2015-03-09T04:17:12.126Z",1335.24,1,false
0,"2015-03-09T04:17:12.751Z",12.120000000000001,1,false
1,"2015-03-09T04:17:13.136Z",646.32,1,false
0,"2015-03-09T04:17:13.761Z",630.96,1,false
1,"2015-03-09T04:17:14.148Z",1085.04,1,false
0,"2015-03-09T04:17:14.772Z",793.92,1,false
1,"2015-03-09T04:17:15.162Z",1302.84,1,false
0,"2015-03-09T04:17:15.784Z",624.6,1,false
1,"2015-03-09T04:17:16.173Z",1212.1200000000001,1,false
0,"2015-03-09T04:17:16.796Z",717.6,1,false
1,"2015-03-09T04:17:17.184Z",1293.12,1,false
0,"2015-03-09T04:17:17.808Z",537.36,1,false
1,"2015-03-09T04:17:18.197Z",873.48,1,false
0,"2015-03-09T04:17:18.818Z",590.88,1,false
1,"2015-03-09T04:17:19.207Z",1347.84,1,false
0,"2015-03-09T04:17:19.829Z",738.96,1,false
1,"2015-03-09T04:17:20.220Z",1062,1,false
0,"2015-03-09T04:17:20.841Z",397.32,1,false
1,"2015-03-09T04:17:21.233Z",1462.92,1,false
0,"2015-03-09T04:17:21.854Z",703.44,1,false
1,"2015-03-09T04:17:22.243Z",776.04,1,false
0,"2015-03-09T04:17:22.866Z",509.52000000000004,1,false
1,"2015-03-09T04:17:23.255Z",1495.9199999999998,1,false
0,"2015-03-09T04:17:23.878Z",637.44,1,false
